"Generative AI
Assignment # 2",Unnamed: 1,Unnamed: 2,Unnamed: 3
Name:                                                                                                            Roll No,Marks,"Self 
Evaluation",TA
,,,
Question # 1 (75 Marks),,,
Data Preparation: Loading and preprocessing the Person Face Sketches dataset correctly,7,,
"CycleGAN Model Implementation: Correct architecture setup, including generator and discriminator networks",12,,
"Training CycleGAN: Proper use of adversarial loss, cycle consistency loss, and identity loss for stable training",12,,
"Handling Training Stability: Using techniques such as learning rate scheduling, batch normalization, and memory optimization (e.g., dataset splitting)",12,,
Generating High-Quality Image-to-Image Translations: Converting sketches to faces and vice versa with minimal artifacts,8,,
Monitoring and Saving Model Checkpoints: Ensuring model weights are saved after every epoch and resuming training if needed,8,,
"User Interface & Deployment: Creating a Flask-based UI (or similar) for real-time image conversion, handling image uploads, detecting input type (sketch or real face), ensuring smooth functionality without major errors or crashes",10,,
"Final Evaluation: Visual comparison of generated images, discussion of model performance, and areas for improvement",6,,
Question # 2 (65 Marks),,,
"Data Preparation: Selecting and preprocessing the dataset for training (Parallel Corpus, UMC005, or synthetic data)",6,,
Transformer Model Implementation: Correctly implementing the Transformer-based model for translation,12,,
"Training Process: Fine-tuning hyperparameters (learning rate, batch size, epochs) and applying techniques like learning rate scheduling and gradient clipping",12,,
Evaluation Metrics: Assessing the model using BLEU scores and qualitative examples of translation quality,8,,
Use of Pre-trained Models: Fine-tuning multilingual models like mBART for improved translation quality,7,,
Data Augmentation: Applying data augmentation techniques to improve generalization,7,,
Subword Tokenization: Implementing methods like Byte Pair Encoding (BPE) for handling out-of-vocabulary words,7,,
"Final Model Performance: Ensuring smooth training, avoiding overfitting, and presenting final results clearly",6,,
Question # 3 (85 Marks),,,
"Dataset Handling & Preprocessing: Properly loading, preprocessing (normalization, augmentation), and splitting CIFAR-10 into train/test sets",6,,
"CNN Model Implementation: Designing and training a CNN for CIFAR-10 classification using best practices like batch normalization, dropout, and proper activation functions",12,,
"Vision Transformer (ViT) Implementation: Implementing a ViT with core components (patching, linear embedding, positional encoding, self-attention, transformer layers, MLP head)",14,,
"Training and Hyperparameter Tuning: Applying techniques such as data augmentation, learning rate scheduling, and early stopping while optimizing batch size, learning rate, layers, and heads",10,,
"Model Evaluation Metrics: Evaluating models using accuracy, loss curves, confusion matrix, precision, recall, and F1-score",10,,
Fine-Tuning Pre-Trained ViT: Utilizing a pre-trained ViT from Hugging Face or Timm and comparing performance with implemented models,8,,
"Performance Comparison: Comparing CNN and ViT in terms of accuracy, training time, complexity, generalization, and number of parameters",8,,
Attention vs. Spatial Modeling Analysis: Discussing the effectiveness of ViT's attention mechanism versus CNN's spatial feature extraction,7,,
"Visualizations: Providing training/validation accuracy and loss curves, confusion matrices, and example predictions",6,,
"Final Report & Interpretation: Summarizing insights, key takeaways, and presenting well-structured conclusions",4,,
Report Evaluation,,,
" Report: The report should be written on  Overleaf and follow Springer LNCS Template. Write a comprehensive report include all details for each of the above questions and explain all the details that you performed. Describe the technical details of the experiments, including data preprocessing, model architecture, training process, and evaluation metrics,Discuss the results, including the accuracy achieved and any notable findings. ",30,,
Code Evaluation,,,
Code Quality and Documentation with proper comments for each function,15,,
Organize the code into functions or modules for clarity.,10,,
"Any extra score based on your observation (Only for TA)
Justification:",10,,
Marks,,,
Total Marks,290,,
